Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3
row_1,0.1,0.1,0.1,0.309,0.29691666666666666,0.30183333333333334,0.9090909090909091,0.9166666666666666,0.9166666666666666
row_2,0.2,0.1,0.2,0.29675,0.38466666666666655,0.2987083333333333,0.9166666666666666,0.8333333333333334,0.9166666666666666
row_3,0.3,0.3,0.1,0.24000000000000002,0.23811111111111108,0.2975,0.9722222222222222,0.9722222222222222,0.9166666666666666
row_4,0.5,0.2,0.4,0.24513333333333334,0.2940416666666667,0.25252083333333336,0.9666666666666667,0.9166666666666666,0.9583333333333334
row_5,0.4,0.6,0.3,0.27204166666666674,0.2516805555555556,0.2959722222222222,0.9375,0.9583333333333334,0.9166666666666666
row_6,0.8,0.5,0.5,0.24293750000000003,0.2817333333333333,0.2637833333333333,0.96875,0.9333333333333333,0.95
row_7,1.0,0.8,0.6,0.2565416666666667,0.26881250000000007,0.2944722222222223,0.9666666666666667,0.9583333333333334,0.9305555555555556
row_8,0.5,1.2,0.9,0.26241666666666663,0.24045833333333336,0.24987037037037038,0.95,0.9722222222222222,0.9629629629629629
row_9,1.5,1.0,1.5,2.9136060606060608,2.8030517241379314,2.80565306122449,0.010101010101010102,0.034482758620689655,0.01020408163265306
row_10,2.0,1.5,1.0,4.635199999999999,5.07590909090909,4.3244750000000005,0.016666666666666666,0.0,0.0
row_11,1.2,2.5,1.8,2.890467741935484,2.1788308823529414,2.1275777777777773,0.22580645161290322,0.2867647058823529,0.25555555555555554
row_12,3.0,2.0,2.0,3.1470102040816332,3.3816712328767125,3.3221147540983607,0.030612244897959183,0.0,0.0
row_13,2.5,3.5,2.5,3.4906206896551724,3.7536315789473687,3.98875,0.0,0.0,0.0
row_14,4.0,3.0,3.5,6.036684210526315,5.779058823529413,5.918727272727272,0.0,0.0,0.0
row_15,3.5,4.5,4.0,4.56662962962963,3.9930985915492956,4.337765957446809,0.0,0.014084507042253521,0.0
row_16,5.0,4.0,4.5,3.8621166666666666,4.407293103448276,4.114645161290323,0.0,0.0,0.016129032258064516
row_17,4.5,5.5,5.0,5.568945945945945,5.950068181818182,5.58245,0.0,0.0,0.0
row_18,6.0,5.0,6.0,5.92725,6.190133333333332,5.104516129032258,0.0,0.0,0.0
row_19,6.5,6.5,6.0,4.9730212765957456,5.087208333333334,4.956723404255318,0.0,0.0,0.0
row_20,7.0,7.0,7.0,4.906872340425532,5.045640000000001,5.229933333333332,0.0,0.0,0.0
