Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3
row_1,0.1,0.1,0.1,0.30083333333333334,0.3852499999999999,0.29824999999999996,0.9166666666666666,0.8333333333333334,0.9166666666666666
row_2,0.2,0.1,0.2,0.299375,0.29791666666666666,0.29820833333333335,0.9166666666666666,0.9166666666666666,0.9166666666666666
row_3,0.3,0.3,0.1,0.2699166666666666,0.26844444444444454,0.38625,0.9444444444444444,0.9444444444444444,0.8333333333333334
row_4,0.5,0.2,0.4,0.24588333333333337,0.29825,0.25420833333333337,0.9666666666666667,0.9166666666666666,0.9583333333333334
row_5,0.4,0.6,0.3,0.2531875,0.23947222222222228,0.29622222222222233,0.9583333333333334,0.9722222222222222,0.9166666666666666
row_6,0.8,0.5,0.5,0.2421041666666667,0.26206666666666667,0.24666666666666667,0.96875,0.95,0.9666666666666667
row_7,1.0,0.8,0.6,0.24560000000000004,0.27334375000000005,0.25795833333333335,0.9666666666666667,0.9583333333333334,0.9583333333333334
row_8,0.5,1.2,0.9,0.24541666666666667,0.23219444444444445,0.2605607476635514,0.9666666666666667,0.9791666666666666,0.9532710280373832
row_9,1.5,1.0,1.5,0.2518333333333333,0.2579830508474577,0.24029050279329608,0.9722222222222222,0.9576271186440678,0.9720670391061452
row_10,2.0,1.5,1.0,6.877585714285715,7.616589285714285,6.428883720930231,0.02857142857142857,0.017857142857142856,0.06976744186046512
row_11,1.2,2.5,1.8,7.953513513513514,7.5967714285714285,7.651326530612245,0.0,0.0,0.0
row_12,3.0,2.0,2.0,8.716676923076925,7.879999999999998,7.224886363636364,0.0,0.022222222222222223,0.0
row_13,2.5,3.5,2.5,6.724745762711863,6.8675,7.142833333333333,0.0,0.0,0.0
row_14,4.0,3.0,3.5,5.9237875,7.332948275862069,6.664927272727273,0.0,0.0,0.0
row_15,3.5,4.5,4.0,8.290377777777778,8.514700000000001,8.660558139534885,0.0,0.0,0.0
row_16,5.0,4.0,4.5,8.871903846153847,8.746799999999999,9.664477272727272,0.0,0.0,0.0
row_17,4.5,5.5,5.0,8.255210526315789,7.443905660377358,8.872190476190475,0.0,0.0,0.0
row_18,6.0,5.0,6.0,8.836551020408164,7.720413043478261,7.577854838709678,0.0,0.0,0.0
row_19,6.5,6.5,6.0,7.13134375,7.544349999999999,7.946355555555556,0.0,0.0,0.0
row_20,7.0,7.0,7.0,10.058136363636363,8.972812500000002,9.980888888888892,0.0,0.0,0.0
