Row,Load_F1,RT_F1,Util_F1
row_1,5.0,0.029734999999999998,0.9683333333333334
row_2,8.0,0.00875416666666667,0.975
row_3,12.0,0.008053472222222222,0.9819444444444444
row_4,16.0,0.00801777313120753,0.9790904338734971
row_5,20.0,0.007882081409987411,0.9811162400335711
row_6,25.0,0.007653163709407433,0.9819216605289588
row_7,28.0,0.007684984984984987,0.9831831831831832
row_8,32.0,0.0077163120567375915,0.9781980562122407
row_9,35.0,0.007544645006016849,0.9855595667870036
row_10,38.0,0.008101541850220264,0.9731277533039647
row_11,42.0,0.007635322483423749,0.9903556359252562
row_12,45.0,0.007570437066216471,0.9829300318889514
row_13,48.0,0.007926786650358205,0.9807793115498864
row_14,50.0,0.007788555126699111,0.9818761537170666
row_15,55.0,0.007813484176731389,0.9873108087448402
