Row,Load_F1,Load_F2,Load_F3,Load_F4,RT_F1,RT_F2,RT_F3,RT_F4,Util_F1,Util_F2,Util_F3,Util_F4,Cold_F1,Cold_F2,Cold_F3,Cold_F4
row_sim_1,1.1722362704061469,0.6863737376404759,1.2949669838715046,1.0611836421360776,0.46580071278163526,0.5429663177992539,0.3966783741924765,0.02867172231351873,0.6125026992010365,0.5768711656441717,0.6997883080931444,0.9705299063937808,0.28136471604405094,0.35411042944785276,0.21654453672040383,0.011581786450896399
row_sim_2,0.1865571544370918,1.464652409873296,1.153652567886012,1.189793242651583,0.6237318490534005,0.18682212474426604,0.1861847647035892,0.029798283987439746,0.4392038078753786,0.8055646570554827,0.8402797105482883,0.9693132975710526,0.5352661185633925,0.12805810397553516,0.1245825215697189,0.013860660380501783
row_sim_3,0.2357647673795415,0.7030596099485724,0.5876571351372428,1.3938092338304726,0.407507706635694,0.1735236438673628,0.14257432226001748,0.03179805111337891,0.6043723554301833,0.8187932177701999,0.8751967618619294,0.9686781058282209,0.3614950634696756,0.1418963720754002,0.11136721385203507,0.015984470858895705
row_sim_4,0.9836044241169636,1.2430043392427035,0.6929505882996302,0.37949614658792646,0.339056711343807,0.2899841561657335,0.3335359504073056,0.02037061706320365,0.6971341077788503,0.7388507833142064,0.7427567208131471,0.9788406050537728,0.22724095463169458,0.17993541327497398,0.21938823976441532,0.004808953396869808
row_sim_5,0.8541479411729604,0.14253502135105423,1.250065199389244,0.965913378726994,0.18566598465323403,0.5086015177737715,0.1072943764699999,0.028445125098042184,0.8045401629802096,0.5235849056603774,0.9052094949816791,0.9725741696647374,0.14837019790454017,0.4528301886792453,0.07176995379958578,0.01277438865425726
row_sim_6,1.149227223123792,0.5640626537883091,1.4575121353726097,1.3450256259171867,0.5141213537590102,0.633702299930336,0.4097366404928029,0.03167800251563601,0.5715067208502657,0.4990643560328696,0.6813799944205078,0.966542750929368,0.31896686464520163,0.43812545765194044,0.22054493041133258,0.013094879265882983
row_sim_7,1.1786560707569547,0.332226126385353,0.7267454554041995,0.11351546039148172,0.10160852014919053,0.20241953341913596,0.09283863559692523,0.0181917286618896,0.8858846071960826,0.7925770727327147,0.9235725546644732,0.9836214740673339,0.07102405790930381,0.16611792876384315,0.06251285214887929,0.0031847133757961785
row_sim_8,0.27371976349794436,1.040420982201559,1.1299051260663349,1.4528891120296046,0.5298996907427944,0.23206194811994652,0.18629950031242115,0.03131306074199257,0.5132857142857142,0.766752337318881,0.8383652173913043,0.9692295353686574,0.45471428571428574,0.1738741758855738,0.1277913043478261,0.015238197080682244
row_sim_9,0.5224467693003203,0.5871665737505599,0.7308559263499215,0.32473347067221425,0.1261898214303245,0.10266330657200896,0.06656638662211742,0.01886468466096157,0.8625835836805892,0.8841889817499574,0.9457205359584359,0.9804374614910659,0.10126950285880415,0.07914037182329865,0.04313645064260323,0.0038508934072704866
row_sim_10,0.23838618273643386,0.739772143027604,0.37901855612378194,1.02123029228964,0.28646082225650216,0.1111675514689659,0.12703586319259355,0.02904626923032101,0.717201166180758,0.876723493853155,0.8901918976545842,0.9713344478316452,0.25281132861307787,0.08782177545337227,0.10034648187633262,0.013423148785524634
row_sim_11,0.6838702823648796,1.2573833842838642,1.0653843979032613,0.5029316300039596,0.43409661545356426,0.3187422762736488,0.3150920341863088,0.02052695087038004,0.6376272412545858,0.7216086568496207,0.7585957292797684,0.9776404416359975,0.30016018188394566,0.1916834002677376,0.18524002237357287,0.0052079716686341225
row_sim_12,1.2567767120230415,1.2169083183703626,0.611843649593753,0.46807575069885393,0.4015827321417744,0.391346298201207,0.4701305417907769,0.021127355607624732,0.653869072954797,0.6710937271957734,0.6522864538395168,0.977740509223967,0.2436366731931557,0.2318806736915847,0.30267471958584985,0.005564872694008233
row_sim_13,1.0396184807637143,0.2526411012334992,0.33986689358890704,0.060675291138958,0.05121248318245683,0.12521469880326075,0.053784503338908295,0.017204372412374776,0.9281515978801992,0.8631870304468169,0.9560094265514533,0.9826815642458101,0.03321021358599647,0.10333465137735601,0.034171249018067555,0.0022346368715083797
row_sim_14,1.1910403473781006,1.0140337420584467,1.0724897990081859,1.1820570949818534,0.6432244776280985,0.6539306256512031,0.6126881416767277,0.02758660805338169,0.5112927912793519,0.5175384068910399,0.5729340916694546,0.9713613621088791,0.35143913092171575,0.36772933132048663,0.32632151221144196,0.00967067433350758
row_sim_15,0.715427874530593,0.8746747341316959,0.2527056472851033,0.21606860662716149,0.09722870254410805,0.07655668097248851,0.10324780937351676,0.01863426784061907,0.8870369073464528,0.9048055969721298,0.9095191364082433,0.9818056195301704,0.07437495622942783,0.05384791833925909,0.07988223748773307,0.0036849378166743437
row_sim_16,1.0191842945961838,0.7330894989075422,0.8695923543977239,1.159248343253237,0.33526898007903244,0.3616791728452956,0.29446008197513285,0.03053351634503196,0.6908353528858994,0.6793180434341384,0.7618800760324866,0.9676528939877512,0.2358789197744584,0.2598782138024357,0.195092448591671,0.014275856120072457
row_sim_17,0.9703415640008567,0.852690130954094,0.8608503830808497,0.4907276421907877,0.27522657517615495,0.2737181922136295,0.236783420555673,0.02166844915828194,0.740283540802213,0.7469527629580591,0.8094127542437681,0.9796307650384903,0.19225449515905949,0.19112893804275868,0.15579599327114238,0.00647183050616527
row_sim_18,0.09468586012351214,0.6832402143869255,0.36114777558831734,0.6423665334007225,0.32077185958159127,0.06822843781678187,0.0684721521274837,0.023758387982513954,0.6873391662377767,0.914094744146974,0.9409288523911393,0.9771942220128749,0.28769943386515695,0.050038350560648676,0.04913394520737009,0.008517820693986497
row_sim_19,1.287434456238841,0.38921225450474406,0.13453897544914573,0.45800664343189496,0.06743922314748448,0.14126609706879031,0.17442238361167034,0.020987468540872543,0.9122825106328135,0.84783728115345,0.8453246427676109,0.9799531752999707,0.0465523907720067,0.11688980432543769,0.14690398596139384,0.005926251097453907
row_sim_20,0.47571094876169123,1.009778946353998,0.8576966208948537,1.1866524032042995,0.3636211255238302,0.21811760612972594,0.19781362235101677,0.03008477911485001,0.6563729492984931,0.778651724497964,0.8304614365007041,0.9705856136910598,0.2997550293222478,0.1620088400097449,0.14178609891475438,0.01429123213595983
row_sim_21,1.013254633474712,0.6392609490881023,1.2303295577657503,0.29211073386617065,0.30834877480652034,0.36274976283091337,0.24621840491768682,0.017667739914298725,0.7215052429112118,0.6879531929789469,0.8029782950938137,0.982382271468144,0.20568343984612522,0.2560384057608641,0.14395953235089168,0.002659279778393352
row_sim_22,0.08293250604409769,0.18056939812468054,1.097421058364853,0.7197219838645117,0.549055418679185,0.2885920706055356,0.04128654230347447,0.022723973027846397,0.47640117994100295,0.713549644896254,0.9672564757387815,0.9779563957499655,0.5023598820058998,0.25804205542403563,0.023554359722728933,0.007554850282875673
row_sim_23,0.2838440795987226,0.7765149238998772,0.2708525489340942,1.0596645438627172,0.24484722241652956,0.10307408963210535,0.1520020037103836,0.028418512188396302,0.7532890906974037,0.8835960801022582,0.8665108267716536,0.9714971876382481,0.2137617883339155,0.07946314443971027,0.12401574803149606,0.01289262466030462
row_sim_24,0.6969265995823446,0.6024807778398996,0.4871925292644209,0.9639097600223883,0.17964861528037018,0.17073386759032358,0.1492965209939171,0.02895287143061827,0.8125495852866931,0.823358028802131,0.8691454396055875,0.9707317073170731,0.1451857194374324,0.1362690418713061,0.11431799506984387,0.013388687078360145
row_sim_25,0.5746282853024162,0.17709238300834645,0.22110855807474722,1.4447516135967962,0.20272827797881293,0.3751820285975145,0.24387251155236522,0.029952563831782464,0.7901570923424729,0.6384254920337394,0.7823087536409628,0.9710649482396883,0.17378702683902383,0.33720712277413306,0.21002606162808524,0.014317663062273766
row_sim_26,1.3674420015260302,1.064575344025587,0.4355114441163034,1.4553057471541997,0.36507375795634023,0.38563396101126585,0.5261799740410095,0.03199273928799841,0.6581650390316361,0.6588482691685539,0.5802989266726853,0.9659290063864547,0.237034227742486,0.2571174377224199,0.3844919249673989,0.015089855933462053
row_sim_27,1.1791888107504023,1.0894907742805438,0.7015741781084937,0.44475026467548057,0.3359586843861508,0.3304113825000003,0.36010651799282967,0.0200977280744423,0.6998385314863601,0.7108355695382622,0.7226148409893993,0.9796310965259704,0.2133933882892836,0.21037290644952344,0.23547703180212015,0.004639583569084531
row_sim_28,0.189766895122574,1.3587734749885705,0.7108756202587361,0.34342687895308394,0.31938568248057425,0.07807088056336188,0.08543383875619871,0.01961232100437913,0.6947115384615384,0.9036228433275945,0.9296022527279127,0.9815878627191045,0.2799145299145299,0.052968973222462364,0.05786694825765575,0.0045662100456621
row_sim_29,0.4936371050184461,0.8898683749657492,0.30632053526188596,1.2920907119339444,0.25505104626987496,0.14572632751035092,0.22170655125288427,0.03171321052033324,0.7436002178649237,0.8443294362945863,0.8072631809232116,0.9693081502771504,0.2152777777777778,0.1132623426911907,0.18256399037409757,0.01591049065900226
row_sim_30,1.1498533182610546,1.0932212861288584,0.6765349076739005,0.9595978190185427,0.39419801505038504,0.38176114041923176,0.4317923572064316,0.025243648698695092,0.6500084189257451,0.6677061554271945,0.6691011559031572,0.9742510121457489,0.25408317898636135,0.2430631843793189,0.2850077635286675,0.009109311740890687
row_sim_31,0.8969420549234666,0.992277572254489,0.17244426565283918,0.652920733147384,0.13794467452660417,0.11220327602453761,0.25382688450475055,0.024758477393377675,0.8483816964285714,0.8742963409730599,0.777745155607751,0.9744816586921851,0.10597098214285715,0.08212706071572175,0.21403405754550792,0.009341535657325132
row_sim_32,0.1103405520997441,0.7662866879045525,0.5282987578825387,0.259560073855768,0.1975799795724665,0.04512637362650328,0.03733412343868868,0.019258191368621922,0.7951263537906137,0.9351404310907904,0.9712621729998091,0.9796693900817024,0.17283393501805056,0.0286740692357936,0.020336070269238112,0.004180125403762113
row_sim_33,0.1999343031976999,0.9020846296576824,0.29735980437848486,1.391424171646356,0.433590987028452,0.12996693954653446,0.20326354349307243,0.031157693733091102,0.5849651510122801,0.8571743929359823,0.819212808539026,0.9697020341896667,0.3898108197809492,0.10378955114054451,0.16989103847009118,0.015423550759239806
row_sim_34,0.8925386525655727,0.5529612165755138,0.9068274626480544,0.08306561299306137,0.15668727670969707,0.19487116410237698,0.11629457417382612,0.016692026400372206,0.8360151972287406,0.8074827460951689,0.9045548307966773,0.9826243259436789,0.11481729802212538,0.14874682164911007,0.07665718905056587,0.0017974835230677051
row_sim_35,1.4399108592000958,0.7493399835672053,1.184966079512915,0.16995849988753592,0.5621984204434904,0.6614993472316262,0.5589048822499998,0.016809069272106788,0.5843103234601561,0.5390020750801735,0.6319883180355227,0.9834626378113516,0.27713471309951665,0.37700433880399925,0.27297651686732627,0.0018374846876276032
row_sim_36,0.7556545797153326,0.7615251418140554,1.4098483597137252,0.8790056759453093,0.43243200116223646,0.4028498681353381,0.2799840617562633,0.02591648602758865,0.6276847241084452,0.6531924438020236,0.7738709764600957,0.9728944401075549,0.30657411599014134,0.28076558839655086,0.15959028134374748,0.009888108248763986
row_sim_37,0.7365596315325831,0.43711471148324565,0.5307750461467007,0.8049749835837298,0.14155909359140773,0.1715010923107964,0.1125814879316102,0.026154628828071316,0.8440076965365585,0.824251294753434,0.9022733704367513,0.973257043348467,0.11139362286970864,0.1393830218419275,0.0834826903122347,0.010759375583058648
row_sim_38,0.6864216174423177,0.08133751582647912,1.2481232900818189,1.3494331191676618,0.2045493617040516,0.6833188127315077,0.09281017652870431,0.030803820410794318,0.785485979950603,0.36683107274969173,0.9170758973130515,0.9704249333728161,0.1697660903675723,0.6208384710234278,0.06407953048269253,0.01506514657980456
row_sim_39,0.2533611790479856,0.8533524081316216,0.20743482464639312,1.024748134907727,0.27018499671357427,0.09579679723807595,0.17734322262678845,0.027972709504336512,0.7266272189349112,0.8906971239199906,0.8443797038116048,0.9712862584236742,0.23747534516765287,0.07415078707539353,0.14857975236707938,0.012452387928508644
row_sim_40,0.45778898656656203,1.0061628203032575,1.1041421907159799,1.1645388632806026,0.4318966507219101,0.26309062221481166,0.2180770128576253,0.02962027720731552,0.6101749837977966,0.7488216810683425,0.8182473205439971,0.9691301900679742,0.34532296392309353,0.18715632364493323,0.14207871746374853,0.013638134822704248
