Row,Load_F1,Load_F2,RT_F1,RT_F2,Util_F1,Util_F2,Cold_F1,Cold_F2
row_sim_1,0.2,0.2,0.2125764710949795,0.21234513665303473,0.9989780275932549,0.9992563212692117,0.001021972406745018,0.0007436787307882995
row_sim_2,0.4,0.1,0.21198612062313632,0.2130618154905542,0.9994989352373794,0.9985022466300549,0.0005010647626205688,0.0014977533699450823
row_sim_3,0.1,0.4,0.21277512329573808,0.21216709128978642,0.9985163204747775,0.9994977398292315,0.001483679525222552,0.0005022601707684581
row_sim_4,0.7,0.7,0.2118488230768155,0.211961011481245,0.9997158283603297,0.999713672154617,0.0002841716396703609,0.0002863278453829635
row_sim_5,0.5,1.0,0.21209959298458445,0.2119253675484808,0.9994995495946352,0.9997499624943742,0.0005004504053648283,0.00025003750562584387
row_sim_6,1.5,1.0,0.2120330500783495,0.21252693196077774,0.9995001166394508,0.9991956565453448,0.0004998833605492052,0.0008043434546551378
row_sim_7,2.0,0.9,0.21209706023305092,0.2128042591005305,0.9994487735210844,0.9988911066755378,0.0005512264789155871,0.0011088933244621868
row_sim_8,0.9,2.0,0.21258603059400574,0.21216013038579257,0.9989500442086648,0.9995232240094352,0.0010499557913351016,0.0004767759905648541
row_sim_9,2.5,1.8,0.21401853126651427,0.21519615483843615,0.9975831901889506,0.9966119581215808,0.002416809811049415,0.003388041878419284
row_sim_10,1.8,2.5,0.21487091021517035,0.21410265925877447,0.9967553176738123,0.9976607485604606,0.003244682326187637,0.0023392514395393473
row_sim_11,3.0,3.5,0.2221078570800511,0.22084173380428032,0.9898286011080333,0.9912999832691985,0.010149757617728532,0.008700016730801405
row_sim_12,4.5,4.5,0.2401825602242337,0.24029845208655337,0.9727495776687314,0.973089086461006,0.02714986726731558,0.026851244107643654
row_sim_13,3.0,5.0,0.23366060686996384,0.22519169581132226,0.9787983038643091,0.9872488160757712,0.021175027335520177,0.012703186996032253
row_sim_14,6.0,5.0,0.26101972006697627,0.2714418259031331,0.954059202813599,0.9448127023277324,0.04540958382180539,0.05454985905567301
row_sim_15,8.0,8.0,0.40869224301160123,0.4106479336427538,0.8127516375217836,0.8118535085266984,0.1329003197329526,0.13245524347948118
row_sim_16,46.44866511093,26.36076246313554,0.6190043032498713,0.5971817330491238,0.10221576802360988,0.16229143492769743,0.048367246471939615,0.08010843781768892
row_sim_17,51.522945298687375,41.857213342108864,0.5925562943327006,0.5757771359375343,0.0953708060371349,0.11820843483896923,0.04397552467547321,0.052646010419522896
row_sim_18,5.69593200586459,58.53855998062352,0.4812642606320589,0.5411659490931817,0.45945337982229223,0.2037756558006805,0.11782892476812092,0.015958305467795125
row_sim_19,45.68032513432166,47.17455510135338,0.5827291842973918,0.5816267354892887,0.10760675434323753,0.10757160598474245,0.04757433489827856,0.04583434245580044
row_sim_20,7.730412278898975,27.05063697683925,0.6302891592172255,0.593394412296073,0.40031702898550725,0.2912051950051976,0.173547532676916,0.05258384638191744
row_sim_21,22.279341552743247,55.60956108147368,0.5671771954088132,0.6078567381005706,0.1873851590106007,0.09136553186148032,0.08444937302738206,0.03836446239273095
row_sim_22,38.64971394883584,49.374558715586254,0.5761072377463261,0.5933962620497963,0.12381473377097009,0.09841614851502788,0.05390517410977769,0.04398607018483793
row_sim_23,26.632681219698505,13.672961370997376,0.6475040507851847,0.6519111957444695,0.1778023777750819,0.25492556596294447,0.06746970325034747,0.12483645386871194
row_sim_24,33.2973579815993,3.8758445034453106,0.48339831886192125,0.5084629138032764,0.529795708882368,0.6446886446886447,0.01977811941662858,0.1549081421893684
row_sim_25,49.666488760955296,37.91828072736779,0.5975356171445014,0.5855678776127664,0.0992157416893348,0.1235162606310646,0.04583977399925377,0.057684577247755595
row_sim_26,45.49736001811816,21.30383178938561,0.6235364802051899,0.5978573102661163,0.10172358010529721,0.18557635221697966,0.04744393972168145,0.09167073937024367
row_sim_27,58.24334656247445,53.59261122326575,0.5628501484330592,0.5685051194668986,0.09611542303849996,0.095684998644393,0.03743131868131868,0.04078572499625131
row_sim_28,46.71409064957202,11.718590535725458,0.6058937411891189,0.5963876641464638,0.1221288726469,0.2637443549970548,0.03855434607753767,0.13037951697839115
row_sim_29,28.029924173435703,2.6760357589443653,0.3766473309306857,0.4563571039076875,0.8089672035877586,0.7725516927970916,0.01665481754291908,0.16658873041851766
row_sim_30,9.299655049449493,40.99878474688516,0.5990441817088288,0.6041588457768087,0.3166216945493794,0.1480404070159934,0.1467330643084056,0.039038286235186875
row_sim_31,44.69849124667363,58.052208459430894,0.5580352098562201,0.5859402066264412,0.11811565922082692,0.08647815456574891,0.04710952593253084,0.03858579701310576
row_sim_32,19.583230220382212,22.25905937679039,0.6641239072480194,0.6571457829022204,0.19397456211725408,0.18585714553743973,0.09649557522123894,0.08548321369236074
row_sim_33,28.199870885984687,11.408807977102928,0.6369662754911835,0.6520262678246961,0.18385096652919228,0.2850078356259795,0.061286394331894166,0.1428054953000723
row_sim_34,7.838794244861525,28.56851032724473,0.6262770162838377,0.5978613419989547,0.3836024382299567,0.26408100878868934,0.16667678300455235,0.04946162987504051
row_sim_35,13.653215475600504,40.205348981216495,0.616462055047664,0.6245145420302614,0.24124329441464185,0.12377928706345698,0.12422315879705693,0.047164955435754344
row_sim_36,26.257257536396228,49.96905785366735,0.5826073188862609,0.6155528019818612,0.16237255642373719,0.09407692073077745,0.07710077967080566,0.04472003006388576
row_sim_37,42.030892865034836,18.776380150853363,0.6246042041965597,0.6075668139559445,0.11532825535001813,0.19989702664435577,0.04900223184980964,0.09827199577892098
row_sim_38,49.9439750936423,48.29562323193327,0.5816339274332347,0.5796434659737365,0.101425589729453,0.10537437773036676,0.045134443021766966,0.046474782149458674
row_sim_39,23.27932882285896,17.335269830618135,0.6574275512075509,0.6591151970853801,0.18316874945381456,0.21930070583835834,0.0800855310049893,0.10522379688142691
row_sim_40,40.96560546329978,8.428161392378124,0.5960440359352548,0.5963051136533826,0.16249351401575943,0.33992994746059546,0.03680901516305175,0.15237234523271578
row_sim_41,12.034496738382746,0.49136807157278045,0.21574409878993453,0.29494435447002504,0.9965955586094887,0.9212658227848102,0.0032899531494013537,0.07848101265822785
row_sim_42,47.226116431253196,39.90780885269233,0.5899532589250864,0.5749477204467501,0.10328414165732454,0.12417741510923927,0.04390191089698479,0.0512934033267978
row_sim_43,42.32466444864879,46.85470540976697,0.5847834800299386,0.5864380246688646,0.11349000232258609,0.10632598784194529,0.05087719298245614,0.046345505457454715
row_sim_44,27.562000743523484,34.14603469737598,0.6099947207252516,0.6285867235860356,0.15862563275545402,0.12566163851503928,0.07245739954103804,0.06029089136263915
row_sim_45,8.430830037753065,6.916077908481608,0.37179380763927034,0.3960102704846948,0.8524957221392945,0.8320944371713227,0.11195798840304876,0.13645050891150717
row_sim_46,40.12075755933878,28.292217558280797,0.6158710415984997,0.6090783530467491,0.11661508472547578,0.14764680379594392,0.05343832905209079,0.0729763815638615
