Row,Load_F1,Load_F2,Load_F3,Load_F4,RT_F1,RT_F2,RT_F3,RT_F4,Util_F1,Util_F2,Util_F3,Util_F4
row_1,0.1,0.1,0.1,0.1,0.10383333333333329,0.102,0.10449999999999998,0.10124999999999999,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
row_2,0.2,0.2,0.2,0.2,0.009833333333333333,0.008791666666666668,0.010541666666666666,0.008875,0.9583333333333334,1.0,0.9583333333333334,1.0
row_3,0.5,0.1,0.1,0.1,0.030983333333333318,0.009,0.11666666666666664,0.012250000000000002,0.9666666666666667,1.0,0.9166666666666666,0.9166666666666666
row_4,0.1,0.5,0.1,0.1,0.009416666666666665,0.008816666666666667,0.012583333333333335,0.012166666666666668,0.9166666666666666,1.0,0.9166666666666666,0.9166666666666666
row_5,0.1,0.1,0.5,0.1,0.009166666666666667,0.009083333333333334,0.008916666666666666,0.012166666666666666,0.9166666666666666,1.0,1.0,0.8333333333333334
row_6,0.1,0.1,0.1,0.5,0.011166666666666665,0.009,0.009749999999999998,0.009500000000000001,0.9166666666666666,1.0,0.9166666666666666,0.9333333333333333
row_7,0.3,0.3,0.1,0.1,0.08733333333333332,0.0886111111111111,0.11708333333333332,0.11508333333333332,0.9166666666666666,0.8888888888888888,0.9166666666666666,0.9166666666666666
row_8,0.1,0.1,0.3,0.3,0.008833333333333332,0.00925,0.00977777777777778,0.008885714285714287,0.9166666666666666,1.0,0.9444444444444444,1.0
row_9,0.4,0.2,0.2,0.2,0.009729166666666665,0.008958333333333334,0.009,0.009125,0.9583333333333334,0.9166666666666666,1.0,0.9583333333333334
row_10,0.3,0.3,0.3,0.1,0.010166666666666666,0.008666666666666668,0.00875,0.009083333333333332,0.9166666666666666,0.9722222222222222,1.0,1.0
