Row,Load_F1,RT_F1,Util_F1,Cold_F1
row_sim_1,2.0,0.007897299376518051,0.9906119785129776,2.5101661730006527e-05
row_sim_2,5.0,0.007990110743337896,0.9766868953914559,1.0014220192673596e-05
row_sim_3,7.0,0.008056066367602907,0.96706,1e-05
row_sim_4,9.0,0.008125307939651105,0.95676,1e-05
row_sim_5,11.0,0.008198125535328307,0.94705,1e-05
row_sim_6,13.0,0.00827193363419003,0.93721,1e-05
row_sim_7,15.0,0.008350695768896858,0.92657,1e-05
row_sim_8,17.0,0.008433472148994866,0.91568,1e-05
row_sim_9,20.0,0.008559305674247352,0.89969,1e-05
row_sim_10,25.0,0.008781693261006045,0.87231,1e-05
row_sim_11,2321.879447865462,0.24161933790633477,0.0,0.00018096272167933406
row_sim_12,1316.6633753341691,0.24199757912816303,0.0,0.00010275380189066995
row_sim_13,2575.800829838152,0.24203838816919776,0.0,0.00020032051282051281
row_sim_14,2092.1192187766387,0.2421532705509772,0.0,0.00016310552927744252
row_sim_15,282.5773347955542,0.23833586045745592,0.0,2.1993489926981614e-05
row_sim_16,2926.868273792686,0.24202366711579631,0.0,0.00022779043280182233
row_sim_17,2283.4310489859595,0.24217842834926978,0.0,0.00017834849295523454
row_sim_18,2358.2036126155976,0.24228841691406713,0.0,0.0001837897445322551
row_sim_19,384.3844923450038,0.23978236558319782,0.0,3.0022817341179297e-05
row_sim_20,1351.1852943898066,0.24180466276700618,0.0,0.00010532968190436065
row_sim_21,1112.425532796532,0.24167260294793394,0.0,8.660258075690655e-05
row_sim_22,2780.298628296363,0.24198878680016112,0.0,0.00021659085986571366
row_sim_23,1931.6131669859894,0.24205085469397866,0.0,0.00015062509414068384
row_sim_24,2468.2937017318263,0.24184588741738214,0.0,0.00019190174630589137
row_sim_25,1330.2704257720518,0.2416412737027702,0.0,0.00010359473738734072
row_sim_26,681.7548034182413,0.2409727029699782,0.0,5.312649418264889e-05
row_sim_27,1663.7766318081535,0.24227892015147,0.0,0.00012980269989615784
row_sim_28,191.49857744972076,0.23366231743828916,0.0,1.5020202171921235e-05
row_sim_29,2482.9021344191465,0.2419642927608983,0.0,0.0001934610176049526
row_sim_30,1895.0116141462383,0.24218198916906794,0.0,0.0001478633742422002
row_sim_31,2274.275315869117,0.24217414040621557,0.0,0.00017739932588256165
row_sim_32,1063.6101780911986,0.24145460103227034,0.0,8.274720728175425e-05
row_sim_33,2912.09553828349,0.2425048952058841,0.0,0.00022696323195642307
row_sim_34,2679.368707910527,0.24182132073585125,0.0,0.00020837674515524068
row_sim_35,2335.161572046432,0.24175209243210313,0.0,0.00018178512997636792
row_sim_36,583.9563916205101,0.24091898838001366,0.0,4.567044208987943e-05
row_sim_37,1400.1896751309162,0.24174141286555234,0.0,0.00010901558922925978
row_sim_38,131.45910717339697,0.16273156057657256,0.0082,1.0395442637947523e-05
row_sim_39,462.9107617280401,0.24038939874947607,0.0,3.607243344636029e-05
row_sim_40,2049.162707279702,0.24203867911161994,0.0,0.00015969338869370808
row_sim_41,2234.2992296156563,0.24176446875588686,0.0,0.0001737921445950643
row_sim_42,2902.5308218160085,0.24194250530329572,0.0,0.00022547914317925591
row_sim_43,977.5097831465488,0.2415084422756725,0.0,7.644091117566121e-05
row_sim_44,1111.4105951193048,0.24145044475688987,0.0,8.62738331464067e-05
row_sim_45,1408.6939560368598,0.2415624624015508,0.0,0.0001096371011950444
row_sim_46,568.4546036849027,0.24078902450359982,0.0,4.447805008228439e-05
row_sim_47,389.8080199311481,0.23976126527949743,0.0,3.0407151762094443e-05
