Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_1,92.8860280242878,52.693468848258675,103.03882049337032,0.7514638498658843,0.9303397685819531,0.21977804241327517,0.04684497117232543,0.04736046841061479,0.33670212765957447,0.3129904097646033,0.4936992439092691,0.03658845374746793
row_sim_2,83.6992950856707,11.346572879123562,117.07590107882888,0.44290034927744604,1.0560835849851076,0.2605801293417551,0.11665693467719414,0.05126749905410519,0.2175429717859273,0.1924056978152805,0.7475451377890402,0.06857186638063133
row_sim_3,91.34870725374284,94.33841341797061,15.41723023943173,1.1852546469488956,1.1639150265870184,0.041833765350668926,0.006430374190716559,0.005895546299263057,0.8034636578325899,0.477147069664578,0.4603964796870833,0.0015008254539997
row_sim_4,54.073793250573274,44.527223006698115,111.21546041238979,0.012439680115784092,0.012427739431020676,0.01248333157524141,0.9653071520043464,0.9629190573284651,0.9611433087460485,0.0005056201625763292,0.0004274722143060701,0.00024502874375647915
row_sim_5,77.28162115367572,98.74025551183605,53.23753314933837,1.0880115551411982,0.9447621034969672,0.11699408123624214,0.021067080448794462,0.022280320207301838,0.5486934846140622,0.49016807645831045,0.36887367454287384,0.010794527425630727
row_sim_6,27.307284678083988,66.57244520254939,7.70487986969583,1.3146335793704578,0.8574090842838472,0.03855908926812097,0.0041778573560131305,0.0036502456311122604,0.874278038952317,0.696915695681974,0.28569822983984267,0.0005599888002239956
row_sim_7,99.32435908051022,75.81814467469168,90.9826244232406,0.8402653731582559,0.9047548981795768,0.1794927215745596,0.03522180652057723,0.038154082451914685,0.3958744658906733,0.35202110619052107,0.4253857280617165,0.026518435412310675
row_sim_8,42.575389877177706,116.48522802616864,107.17987850259762,1.0266896490545783,0.6051795359008348,0.2144997335481359,0.03961876284806578,0.05160581937963217,0.3256779260805806,0.5908115838398283,0.229490022172949,0.04161561351304043
row_sim_9,93.41710047399773,23.396913006843512,56.033184397057745,0.5614810102524167,1.088740503222141,0.17438478413273437,0.03622169601894332,0.03268119164072921,0.483329224701097,0.19433779588021233,0.6895063393579715,0.03698805958539147
row_sim_10,5.3042617061780915,18.557024573502364,81.98172194143243,0.013682598927970153,0.012619018427455263,0.012326597858992764,0.9685927118985302,0.9631027973228076,0.9625680171235527,0.001611928269192021,0.0006295787545787546,0.00021930956189689872
row_sim_11,89.38422060114266,116.10279240548348,39.13275170867132,1.1276873761433022,1.0079971847145328,0.07873843670308854,0.015374168137987233,0.013796595152205557,0.6368474404460213,0.488711358110455,0.3856424325560128,0.0057313943541488456
row_sim_12,44.48664173888252,56.37321956253316,22.77708952216007,1.1919180093568162,1.059165218230535,0.0883416081050378,0.011854970501066393,0.012119083165012734,0.7417034494033022,0.5251613711850599,0.4135460922833712,0.005785021149539687
row_sim_13,15.634084564989825,57.11080590080075,27.26777641865355,0.015042047312534971,0.013093234986686419,0.012979843238254619,0.9629867626269117,0.9632387644868635,0.9615172768332537,0.0023142195937258937,0.0006648470851704109,0.0008082292432035268
row_sim_14,80.39418866216711,52.48637266873607,99.9297496171376,0.7917644182557898,0.9065951109111301,0.22838332912828258,0.046908129774318165,0.05138215760186681,0.3365289103467394,0.3426429395287527,0.46768346043255404,0.03878291029481318
row_sim_15,84.04679898516979,37.518378633775825,99.87956317735437,0.7031687158503807,0.9595088096635439,0.24105423454600133,0.053994592588665645,0.055160664982670506,0.3215256447086381,0.2919727350936404,0.54521625163827,0.0437016134867231
row_sim_16,96.58148468174139,46.528031564669426,34.63495606643278,0.022069989140572444,0.02513212089060913,0.015994343131960218,0.934036355591608,0.9315718935477695,0.9484856197505727,0.003922899928331636,0.007448935586309641,0.0015401201293700909
row_sim_17,81.91533570179831,16.81331040893671,24.028988886889245,0.012539818523475861,0.01354890497153434,0.012839436564563272,0.965424619103756,0.9641252246854404,0.9617558690227631,0.0004629698770889649,0.0015745669940766289,0.0006114338122898196
row_sim_18,0.9331042566331113,94.4415790813815,79.79886024821425,0.015993190948618178,0.012260157313284639,0.012501062830399765,0.9586466165413534,0.9638942737846704,0.9612413251276679,0.003766478342749529,0.00026137445624778297,0.0003059039461609055
row_sim_19,84.6345871662289,93.69844727108504,55.09694727582388,1.0430290002877038,0.9751134449049969,0.12440578490046177,0.02341331269349845,0.02289525421198019,0.5418517108657954,0.4480559555646986,0.4015740740740741,0.012860941074630558
row_sim_20,68.2705064545496,16.81864992541251,13.787882320640016,0.012233788994084989,0.012598080209367805,0.012488347206735346,0.966744778105653,0.963368872476026,0.9632128399971593,0.00027495188342040145,0.0006556595338856768,0.0004263180332528066
row_sim_21,80.22493526676708,56.55798992686874,67.85007097241859,0.8750689737792846,1.0016785438174551,0.1754065192411411,0.031885314899369945,0.032852564102564104,0.4606664067420448,0.35494093921060216,0.484639884927566,0.022922636103151862
row_sim_22,91.81161294705227,76.18446248407086,66.4518491089266,0.9278370004887387,0.9783844215915981,0.14169374815325325,0.027978639139433274,0.029972333230863818,0.48703017469560617,0.38051936696686195,0.4406674266763395,0.0143410218659687
row_sim_23,67.12689893141236,36.50881426261033,3.746599256424332,1.016648604118384,1.3143041650416567,0.020887763986407716,0.0025148568774127408,0.002169070230976668,0.9271044258027191,0.3499403880197984,0.6378606244236597,0.001188001188001188
row_sim_24,52.43425083842186,25.789431504702527,49.053010814770104,0.7666937046599879,1.0556371193250336,0.19658075153741797,0.037742700818283056,0.037925734966040354,0.5112783906554186,0.30733569675484046,0.584256234562983,0.030556240749876666
row_sim_25,102.41569863851653,28.111041329547625,7.043413865603469,0.5078201463256501,0.9325478919515453,0.026934183114244697,0.15267997791929772,0.1513723585134807,0.8969673405909798,0.15427332732542562,0.5562197802197802,0.0016194331983805667
row_sim_26,33.80199784803848,35.2665712441137,79.44688594149106,0.8915147593914906,0.8232058577988618,0.2708097622161532,0.05812584485239611,0.07538455019280478,0.3341312885730316,0.46171932402645116,0.4197132616487455,0.04528264819999018
row_sim_27,66.86600667333633,94.0785901823143,79.73440916227014,0.9853591614448411,0.8215034286784414,0.17857509146805478,0.03418402339096849,0.03663549481039975,0.4195056179775281,0.47027527180198936,0.33475783475783477,0.026703768795157196
row_sim_28,48.796104029736455,97.69174514069086,20.078401742929085,1.2695124627874903,0.9149277723009279,0.056283887587383855,0.009523159367853364,0.008944057133140622,0.7671290458175704,0.6298364984259165,0.3112904843076306,0.002834522529567002
row_sim_29,2.7743131724065644,10.85124090003823,86.69700410404421,0.015838884407610533,0.012686237316843508,0.012338111239888636,0.969539633091035,0.9634789156626506,0.9625270265582907,0.0031174229303775544,0.0008476172537200979,0.00023134224772127887
