Row,Load_F1,RT_F1,Util_F1
row_1,0.5,0.04548333333333332,0.9333333333333333
row_2,1.0,0.009500000000000001,0.9583333333333334
row_3,1.5,0.009272222222222222,0.9555555555555556
row_4,2.0,0.008641666666666666,0.975
row_5,2.5,0.012416666666666666,0.9766666666666667
row_6,3.0,0.008738888888888888,0.9833333333333333
row_7,3.5,0.011207142857142858,0.9904761904761905
row_8,4.0,0.009668750000000002,0.9666666666666667
row_9,4.5,0.009001851851851853,0.9777777777777777
row_10,5.0,0.00868,0.9766666666666667
row_11,6.0,0.00892638888888889,0.9736111111111111
row_12,7.0,0.008655952380952382,0.9833333333333333
row_13,8.0,0.008769791666666669,0.9739583333333334
row_14,9.0,0.008625925925925928,0.9712962962962963
row_15,10.0,0.008478732276897414,0.9833194328607172
