Row,Load_F1,Load_F2,RT_F1,RT_F2,Util_F1,Util_F2,Cold_F1,Cold_F2
row_sim_1,232.1981167643612,131.6915880036281,0.19685095708482384,0.15505573043899068,0.0533339606072011,0.24405928297408438,0.03049095607235142,0.04514699959726138
row_sim_2,257.58644607741917,209.22554031635622,0.19291978454093053,0.16468866317540234,0.07826986229294047,0.14593173513947064,0.033819018404907975,0.038007523673628224
row_sim_3,28.298495498900476,292.68792437344496,0.13858700105224317,0.03276440578325127,0.7492635395422615,0.6193583767480121,0.09367146447338359,0.009222263259801453
row_sim_4,228.3538536120064,235.8299883678223,0.18910352396638294,0.17595432233103744,0.10761941401583412,0.11115501639862489,0.036843415484192184,0.036044437236458
row_sim_5,38.47768412102998,135.14326207177538,0.012327685254866097,0.010690992288300154,0.8999727940509659,0.9240124700116746,0.0016814360372642582,0.0005144429868559816
row_sim_6,111.27086736856273,278.0331584051381,0.1570577339499465,0.18068445723438925,0.30665084793076974,0.03843404398469366,0.05103298653912529,0.026327827191867853
row_sim_7,193.17734276819533,246.83734590058546,0.18102550986806457,0.1820611989076731,0.14506866416978775,0.08629750116183463,0.039427127211457455,0.033662154377880185
row_sim_8,133.05208893825798,68.21025459934383,0.07669815855952432,0.07057851429731192,0.4456828293492195,0.6379985754985755,0.019337821466362006,0.03787674313990103
row_sim_9,166.39770686539964,19.191985968447387,0.009931543404314593,0.01060835529665343,0.9052711313104309,0.9299051715710236,0.00018981900199868242,0.0011748580379870766
row_sim_10,248.297970039175,189.51773651666335,0.20066975657258398,0.16758939507720944,0.07512532655510838,0.1633717040762186,0.034639220894200975,0.03996084773172185
row_sim_11,227.4384176386079,106.390064140554,0.19185874977897865,0.14462489873216777,0.04255756881070993,0.30955808713069605,0.02824199421155821,0.04965972365436173
row_sim_12,291.2108724172512,267.94168034059317,0.1860949559550023,0.1681338580460283,0.08679505340939546,0.11171827565270188,0.034650198001131435,0.035488267938856975
row_sim_13,233.52612994727488,58.43188042019767,0.10626611408001992,0.10937287004099466,0.14230279739475457,0.5332158146562579,0.018178975496048667,0.06775427781910937
row_sim_14,140.04296506792392,13.188939547879272,0.009847492334577046,0.010715397606329214,0.9061809671704468,0.9283794835845309,0.0001533675123789492,0.0009354536950420954
row_sim_15,46.32913314566097,204.93053352507428,0.12880044200984486,0.07383125211961099,0.6395692105838618,0.3383592994651752,0.0770781985211741,0.017904276482596314
row_sim_16,223.44140866454975,290.2545442436413,0.17777061150632487,0.18111337828977644,0.1369507858208099,0.07738939307997732,0.03916882103312033,0.03274858594966801
row_sim_17,97.78131617353867,111.16938882515892,0.13878719638538925,0.12652215160328872,0.21563577540334597,0.16773232237499763,0.042970115344285215,0.03811055354271211
row_sim_18,140.89326559217858,56.881934157331486,0.013478869927898601,0.013386012649960519,0.8828979557405169,0.913073593073593,0.0013819750962446942,0.0032297273832262545
row_sim_19,39.01995552537471,142.73769262146882,0.014438021279008109,0.01162991840793739,0.8985426269963216,0.9154398655188223,0.0031720856463124504,0.0009064099781695625
row_sim_20,68.11145924781269,200.960707705019,0.14154252156625763,0.13142157363796725,0.4515810276679842,0.10337211014578118,0.06285024571083714,0.023331255892740144
row_sim_21,131.17371806575562,249.81182490754833,0.16817526646957276,0.18379161351870438,0.2381007561053333,0.05209065086588681,0.04631798074421025,0.02904315605928509
row_sim_22,210.09451734557462,93.74437408254322,0.17754617087114186,0.13872150214265502,0.04846514987360058,0.3430595269040811,0.02673710203007671,0.051594157373959476
row_sim_23,249.68632742849056,241.43906903116573,0.18571283891591958,0.17177574468608597,0.09943770346256289,0.11150539378700625,0.03568376068376068,0.03537675606641124
row_sim_24,116.27413979010082,86.53401477387672,0.13134836010026527,0.11460864978835524,0.15009671854033424,0.31249706696700924,0.03597866609585987,0.048240486699272334
row_sim_25,204.7645264172939,41.96875745861247,0.0398074259931219,0.05667326495077146,0.6586135846055596,0.8103468547912992,0.008362050863996245,0.03964914360220471
row_sim_26,60.01246533240874,2.258312811814103,0.00972742135136678,0.010771870508591378,0.9070823526972245,0.9323943661971831,0.00011409723158626269,0.0008453085376162299
row_sim_27,236.08796703176642,199.47201443478005,0.19397882988722917,0.16897363687526745,0.08523312251801736,0.14315157096187156,0.03486007910982958,0.03808323849780523
row_sim_28,211.5643553189692,234.22967285503927,0.18544141728728014,0.17949339414638188,0.1241000738942257,0.10044456265673683,0.03780026324448832,0.03525309422538989
row_sim_29,137.70178687272508,170.6439217260705,0.18637172113364173,0.18391103509461232,0.17172056747125664,0.1030118088909754,0.04170829170829171,0.035237742242931275
row_sim_30,41.98210958839085,34.40329555711523,0.009862761550753206,0.009691597160660346,0.9074459158731896,0.9307864273224286,0.00023720896284942704,0.00022143980158993777
row_sim_31,200.53746838905198,141.3553070326326,0.20058442351368871,0.16511930440954767,0.07161016226176867,0.20392829532276768,0.03372305958585716,0.042505592841163314
row_sim_32,169.5925701390326,229.51140728193687,0.1800645407646579,0.18364817073549464,0.1628256277869045,0.08306180411562789,0.040790362978571144,0.033135941494353296
row_sim_33,190.4337600841772,166.09614122736585,0.19442600621612519,0.17121438833482144,0.09943357074757445,0.15840285542272298,0.03551101212571146,0.03899853925332065
row_sim_34,167.7841878655868,91.21983191388053,0.1793359736576125,0.1444924727411888,0.05890538033395176,0.3203193567566037,0.029823725583611245,0.05032113037893385
row_sim_35,9.293809478653426,131.0433809002471,0.012387986190447469,0.009542184045551568,0.9048632218844985,0.9299836225259845,0.0019786910197869103,0.00021430484864720065
row_sim_36,64.41467261221777,122.58816668520461,0.027387855970960672,0.022072183133783715,0.8422998544395924,0.8266743842439567,0.010340899132416089,0.005406891495601173
row_sim_37,256.0282518267864,70.22014878530895,0.13225370360805624,0.116563413363606,0.06561806304306463,0.46744779363129546,0.018841094916459297,0.0612954186413902
row_sim_38,17.537907369635352,84.45109841199786,0.010839744295028514,0.00973207736239779,0.9017728243922157,0.930796768419525,0.0007513148009015778,0.00019362255702789374
row_sim_39,88.11344764211674,198.5918585923322,0.15530971325422974,0.16496402908144459,0.3425561244584482,0.05036457509384033,0.05413754488936943,0.026661609936474828
row_sim_40,167.13179409476643,235.18026782146873,0.17919842369457395,0.18319147459928217,0.16828090076666105,0.07858953281271407,0.04123878062585914,0.03264456190933846
row_sim_41,199.3108464211999,121.94573908894914,0.1992480365928366,0.1590891935571639,0.059167676767676765,0.24392802811729528,0.031914358948585214,0.045532523230879196
row_sim_42,244.2154143805771,50.133527326315786,0.08709011495140055,0.10242531145613615,0.24235760373118098,0.6093740936249202,0.015624371336990196,0.06988111761511073
row_sim_43,6.8624863365014495,27.059855839653743,0.010221076133576668,0.009324979072969268,0.9076100410952121,0.9317327452258032,0.0005446353418824578,0.00015036840258633654
row_sim_44,216.72168721140525,138.59007521390365,0.2018650186480499,0.16126258134599905,0.06139603473701458,0.22062559338995663,0.03281672117161951,0.0438786771701488
row_sim_45,48.42347012112885,150.3383802922539,0.01375106132037272,0.01155164302344763,0.8952687558580219,0.9188200683787867,0.002532886673747855,0.0008640399851119264
row_sim_46,45.73601520881486,208.91129650456693,0.11090808837192251,0.0639365375775416,0.6753419347693671,0.41757584633033124,0.06528357199233284,0.014924221973699433
row_sim_47,133.87457485843052,114.33731676763992,0.1868119985297593,0.16420375313671542,0.11044770601500979,0.19680630895584167,0.036509723417875194,0.0416340150155464
row_sim_48,90.48855113990555,189.1032638060106,0.15987009063933064,0.16758544069895243,0.3210295660761681,0.051849879436086335,0.052236652236652234,0.02762979511561742
row_sim_49,108.57569253548945,26.340593298864494,0.009936855778182594,0.010086199855501663,0.9060247551821842,0.9307326063584703,0.0001991312897484723,0.0006661542403279528
row_sim_50,35.44587034104857,288.57120448162686,0.1263509096726727,0.04801796591659916,0.7083671811535337,0.44548030858505205,0.08090525929998167,0.010433924354048434
row_sim_51,272.57877817774676,209.92715478653435,0.19836366915332646,0.16670073202924887,0.0726594672935188,0.1509142830823085,0.03423509695954034,0.03955141222078641
row_sim_52,79.79769493978289,290.7544543854498,0.14195244615360145,0.14376318234711166,0.4015397458491791,0.036410459082854195,0.058522023206038075,0.01959274148100838
row_sim_53,233.6363336445401,215.08121223824074,0.1904590818524422,0.17240148686705484,0.09695152423788106,0.126941115164148,0.03557972421829481,0.03693343063326036
row_sim_54,134.8359825680294,81.70885647545545,0.14016230467955987,0.12111000856889158,0.11313862766144923,0.35429194827310945,0.03156224682689711,0.05166946979514186
row_sim_55,28.96246909794211,270.7855888433253,0.1059669227896162,0.029020539693603832,0.7909148132605959,0.6953652632393417,0.0698141106886354,0.007501774068191802
row_sim_56,136.76009813559165,60.74889127032933,0.03787479110307819,0.03821875810132148,0.7039006067610517,0.8047821708196615,0.008936096015808899,0.01989498059424024
row_sim_57,91.82168941398821,173.7869097041217,0.162749756863403,0.17179344345584507,0.30620378927911274,0.06066353610596999,0.051269990592662275,0.029544751893646623
row_sim_58,53.072996242622544,256.991454513508,0.13535379465349712,0.09819650539875491,0.54638578621448,0.15000846207780277,0.07310192567153195,0.016866243478998486
row_sim_59,227.56793297407128,215.85291363748348,0.19127926370739656,0.1735289798854116,0.1002100676884774,0.12564572228282123,0.03607284613588606,0.036868928173276
row_sim_60,129.65630728054236,188.21128676869785,0.17898390213939316,0.185059200916616,0.2061337971241702,0.08002974078204739,0.04392729743502633,0.032788134301823535
row_sim_61,175.25018577537503,194.97148813636827,0.18748776137984152,0.18035495278329833,0.13608501071117993,0.10973625458811065,0.038973317459205827,0.03540841109548767
row_sim_62,25.37907412590973,124.77143028107434,0.011298673737388472,0.010038462869911781,0.9045435598165903,0.9275430247091626,0.0010133524082021935,0.00026478269765426604
row_sim_63,12.53217144987465,148.22254623239346,0.012915360223722186,0.010161559575401363,0.8987082747154368,0.9275780521142957,0.0023059185242121443,0.00026090075987346314
