Row,Load_F1,RT_F1,Util_F1
row_1,2.0,0.26334139784946237,0.9489247311827957
row_2,3.0,0.22211142061281336,0.9888579387186629
row_3,4.0,0.23270230607966463,0.9811320754716981
row_4,5.0,0.22893939393939394,0.9848484848484849
row_5,6.0,0.22826153846153846,0.9874125874125874
row_6,7.0,0.225455421686747,0.9891566265060241
row_7,8.0,0.2259884210526316,0.9905263157894737
row_8,10.0,0.22676218990590252,0.9923011120615911
row_9,12.0,0.2406923076923077,0.9935897435897436
row_10,15.0,0.2569124423963134,0.9930875576036866
row_11,18.0,0.3010456827309237,0.9949799196787149
row_12,20.0,0.32313245655237205,0.9910756223579145
row_13,25.0,0.37870803886925797,0.9836572438162544
row_14,28.0,0.39906008771929824,0.9815789473684211
row_15,35.0,0.4140582566798073,0.9018834866403854
row_16,38.0,0.4183065150852645,0.8683865325754263
row_17,40.0,0.41755419580419584,0.8509615384615384
row_18,45.0,0.4299373356704645,0.8957055214723927
row_19,60.0,0.43770855148342064,0.7953752181500873
row_20,80.0,0.4488091703056768,0.8227074235807861
row_21,100.0,0.45509907935116184,0.8623410784743534
row_22,5.5,0.22895023328149305,0.9860031104199067
row_23,8.5,0.22643687374749502,0.9909819639278558
row_24,11.0,0.2324479248238058,0.9921691464369616
row_25,14.0,0.2500443499392467,0.9945321992709599
