Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3
row_1,0.5,0.5,0.5,0.04708333333333332,0.028433333333333328,0.08246666666666663,0.95,0.9666666666666667,0.95
row_2,1.0,0.5,0.5,0.009925,0.02668333333333333,0.008483333333333334,0.9666666666666667,0.9666666666666667,1.0
row_3,0.5,1.0,0.5,0.0094,0.017925,0.00865,0.9666666666666667,0.975,0.9666666666666667
row_4,1.5,0.2,0.2,0.014755555555555553,0.008291666666666668,0.010541666666666666,0.9888888888888889,1.0,0.9583333333333334
row_5,0.2,1.5,0.2,0.010583333333333333,0.014811111111111108,0.008791666666666668,0.9583333333333334,0.9722222222222222,0.9583333333333334
row_6,0.8,0.8,0.8,0.009031250000000001,0.008635416666666668,0.008375000000000002,0.9583333333333334,0.9791666666666666,0.9895833333333334
row_7,1.2,0.5,0.5,0.023868055555555556,0.009533333333333335,0.009500000000000001,0.9444444444444444,0.95,0.9833333333333333
row_8,1.5,1.0,0.5,0.02162222222222222,0.028199999999999992,0.008616666666666667,0.9777777777777777,0.9583333333333334,1.0
row_9,0.5,1.5,1.0,0.0088,0.01423888888888889,0.017466666666666672,0.95,0.9888888888888889,0.9666666666666667
row_10,1.0,1.0,1.4,0.017383333333333337,0.017166666666666663,0.01788690476190476,0.9833333333333333,0.9416666666666667,0.9642857142857143
