Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3
row_1,1.0,1.0,1.0,0.059733333333333305,0.09280833333333333,0.06642499999999998,0.975,0.95,0.9583333333333334
row_2,2.5,1.5,1.0,0.01578333333333333,0.014261111111111112,0.008200000000000002,0.9633333333333334,0.9777777777777777,0.9833333333333333
row_3,4.0,3.0,2.0,0.059060416666666664,0.022925000000000004,0.03094166666666667,0.9645833333333333,0.9805555555555555,0.9791666666666666
row_4,5.0,5.0,5.0,4.609904255319148,5.04743137254902,5.397241758241758,0.0,0.0,0.0
row_5,6.0,2.0,2.0,7.641195402298851,8.475882352941179,8.802066666666665,0.0,0.0,0.0
row_6,3.0,7.0,3.0,8.137882352941176,8.450925925925926,8.937241379310345,0.0,0.0,0.0
row_7,7.0,7.0,7.0,9.810755555555556,8.841586956521738,8.835790697674419,0.0,0.0,0.0
row_8,8.0,4.0,2.0,6.668026785714285,6.902583333333335,7.058526315789473,0.0,0.0,0.0
row_9,1.0,1.0,8.0,6.147519999999999,5.164,4.712338461538462,0.0,0.0,0.05128205128205128
row_10,8.0,8.0,8.0,9.266093023255815,9.29959375,9.19301754385965,0.0,0.0,0.0
